frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Heal Spirit,50.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,6.0,,,
00240,Heal Spirit,50.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,6.0,,,
00255,Heal Spirit,50.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,6.0,,,
00270,Heal Spirit,50.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,6.0,,,
00285,Heal Spirit,50.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,7.0,,,
00300,Heal Spirit,50.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,7.0,,,
00315,Heal Spirit,50.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,7.0,,,
00330,Heal Spirit,50.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,7.0,,,
00345,Heal Spirit,50.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,7.0,,,
00360,Heal Spirit,50.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,8.0,,,
00375,Heal Spirit,50.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,8.0,,,
00390,Heal Spirit,50.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,8.0,,,
00405,Heal Spirit,50.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,8.0,,,
00420,Heal Spirit,50.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,8.0,,,
00435,Heal Spirit,50.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,8.0,,,
00450,Heal Spirit,50.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,9.0,,,
00465,Earthquake,20.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,8.0,,,
00480,Goblin Cage,40.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,8.0,,,
00495,Goblin Cage,40.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,8.0,,,
00510,Goblin Cage,40.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,8.0,,,
00525,Goblin Cage,40.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,9.0,,,
00540,Goblin Cage,40.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,9.0,,,
00555,Goblin Cage,40.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,9.0,,,
00570,Goblin Cage,40.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,9.0,,,
00585,Goblin Cage,40.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,9.0,,,
00600,Goblin Cage,40.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,9.0,,,
00615,Spear Goblins,96.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,6.0,,,
00630,Spear Goblins,96.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,6.0,,,
00645,Spear Goblins,96.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,6.0,,,
00660,Spear Goblins,96.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,6.0,,,
00675,Spear Goblins,96.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,6.0,,,
00690,Spear Goblins,96.0,Earthquake,20.0,Fisherman,32.0,Hunter,52.0,,,,6.0,,,
