frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,,,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,6,,,
00255,,,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,6,,,
00270,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,6,,,
00285,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,7,,,
00300,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,7,,,
00315,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,7,,,
00330,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,7,,,
00345,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,7,,,
00360,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,7,,,
00375,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,8,,,
00390,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,8,,,
00405,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,8,,,
00420,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,8,,,
00435,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,8,,,
00450,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,8,,,
00465,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,9,,,
00480,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,9,,,
00495,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,9,,,
00510,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,9,,,
00525,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,9,,,
00540,Golem,47.0,Lumberjack,61.0,Baby Dragon,3.0,Heal Spirit,50.0,,,,10,,,
