frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,6.0,,,
00255,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,6.0,,,
00270,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,6.0,,,
00285,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,3.0,,,
00300,Minion Horde,68.0,Skeleton Army,90.0,P.E.K.K.A,76.0,Freeze,34.0,,,,3.0,,,
00315,Minion Horde,68.0,Skeleton Army,90.0,P.E.K.K.A,76.0,Freeze,34.0,,,,3.0,,,
00330,Minion Horde,68.0,Skeleton Army,90.0,Battle Ram,11.0,Freeze,34.0,,,,7.0,,,
00345,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,7.0,,,
00360,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,8.0,,,
00375,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,8.0,,,
00390,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,8.0,,,
00405,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,8.0,,,
00420,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,8.0,,,
00435,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,8.0,,,
00450,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,9.0,,,
00465,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,9.0,,,
00480,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,9.0,,,
00495,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,9.0,,,
00510,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,9.0,,,
00525,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,10.0,,,
00540,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,0.0,,,
00555,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,0.0,,,
00570,Minion Horde,68.0,Skeleton Army,90.0,Goblin Drill,41.0,Freeze,34.0,,,,0.0,,,
00585,Minion Horde,68.0,Arrows,2.0,Goblin Drill,41.0,Freeze,34.0,,,,3.0,,,
00600,Minion Horde,68.0,Arrows,2.0,Bats,9.0,Freeze,34.0,,,,3.0,,,
00615,Minion Horde,68.0,Arrows,2.0,Bats,9.0,Freeze,34.0,,,,3.0,,,
00630,Minion Horde,68.0,Arrows,2.0,Bats,9.0,Freeze,34.0,,,,3.0,,,
00645,Minion Horde,68.0,Arrows,2.0,Bats,9.0,Freeze,34.0,,,,7.0,,,
00660,Minion Horde,68.0,Arrows,2.0,Bats,9.0,Freeze,34.0,,,,8.0,,,
00675,Minion Horde,68.0,Arrows,2.0,Bats,9.0,Freeze,34.0,,,,8.0,,,
00690,Minion Horde,68.0,Arrows,2.0,Bats,9.0,Freeze,34.0,,,,8.0,,,
00705,Minion Horde,68.0,Arrows,2.0,Bats,9.0,Freeze,34.0,,,,8.0,,,
00720,Minion Horde,68.0,Arrows,2.0,Bats,9.0,Freeze,34.0,,,,8.0,,,
00735,Minion Horde,68.0,Arrows,2.0,Bats,9.0,Freeze,34.0,,,,8.0,,,
00750,Minion Horde,68.0,Arrows,2.0,Bats,9.0,Freeze,34.0,,,,9.0,,,
00765,Minion Horde,68.0,Arrows,2.0,Bats,9.0,Freeze,34.0,,,,9.0,,,
00780,Minion Horde,68.0,Arrows,2.0,Skeletons,94.0,Freeze,34.0,,,,6.0,,,
00795,Minion Horde,68.0,Arrows,2.0,Skeletons,94.0,Freeze,34.0,,,,6.0,,,
00810,Minion Horde,68.0,Arrows,2.0,Skeletons,94.0,Freeze,34.0,,,,6.0,,,
00825,Minion Horde,68.0,Arrows,2.0,Skeletons,94.0,Freeze,34.0,,,,7.0,,,
00840,Minion Horde,68.0,Arrows,2.0,Skeletons,94.0,Freeze,34.0,,,,7.0,,,
00855,Minion Horde,68.0,Arrows,2.0,Skeletons,94.0,Freeze,34.0,,,,7.0,,,
00870,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,6.0,,,
00885,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,6.0,,,
00900,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,6.0,,,
00915,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,7.0,,,
00930,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,7.0,,,
00945,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,7.0,,,
00960,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,7.0,,,
00975,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,7.0,,,
00990,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,8.0,,,
01005,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,8.0,,,
01020,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,8.0,,,
01035,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,8.0,,,
01050,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,8.0,,,
01065,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,8.0,,,
01080,Minion Horde,68.0,Arrows,2.0,Furnace,35.0,Freeze,34.0,,,,9.0,,,
01095,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,9.0,,,
01110,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,9.0,,,
01125,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,9.0,,,
01140,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,9.0,,,
01155,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,9.0,,,
01170,Minion Horde,68.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,10.0,,,
01185,Giant,36.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,5.0,,,
01200,Giant,36.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,5.0,,,
01215,Giant,36.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,5.0,,,
01230,Giant,36.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,5.0,,,
01245,Giant,36.0,Arrows,2.0,Balloon,4.0,Freeze,34.0,,,,5.0,,,
01260,,,,,,,,,,,,1.0,,,
01275,,,,,,,,,,,,1.0,,,
01290,,,,,,,,,,,,1.0,,,
01305,,,,,,,,,,,,1.0,,,
01320,,,,,,,,,,,,1.0,,,
01335,,,,,,,,,,,,2.0,,,
01350,,,,,,,,,,,,2.0,,,
01365,,,,,,,,,,,,2.0,,,
01380,,,,,,,,,,,,2.0,,,
01395,,,,,,,,,,,,2.0,,,
01410,,,,,,,,,,,,2.0,,,
01425,Skeleton Army,90.0,Arrows,2.0,,,,,,,,3.0,,,
01440,Skeleton Army,90.0,Arrows,2.0,,,,,,,,3.0,,,
01455,Skeleton Army,90.0,Arrows,2.0,,,,,,,,3.0,,,
01470,,,,,,,,,,,,0.0,,,
01485,,,,,,,,,,,,0.0,,,
01500,,,,,,,,,,,,0.0,,,
01515,,,,,,,,,,,,1.0,,,
01530,,,,,,,,,,,,1.0,,,
01545,,,,,,,,,,,,1.0,,,
01560,,,,,,,,,,,,1.0,,,
01575,,,,,,,,,,,,1.0,,,
01590,,,,,,,,,,,,2.0,,,
01605,,,,,,,,,,,,2.0,,,
01620,,,,,,,,,,,,2.0,,,
01635,,,,,,,,,,,,2.0,,,
01650,,,,,,,,,,,,2.0,,,
01665,,,,,,,,,,,,2.0,,,
01680,Skeleton Army,90.0,Goblin Drill,41.0,,,,,,,,3.0,,,
01695,Skeleton Army,90.0,Goblin Drill,41.0,,,,,,,,3.0,,,
01710,Skeleton Army,90.0,P.E.K.K.A,76.0,,,,,,,,3.0,,,
01725,Skeleton Army,90.0,Goblin Drill,41.0,,,,,,,,3.0,,,
01740,Skeleton Army,90.0,Goblin Drill,41.0,,,,,,,,3.0,,,
01755,Skeleton Army,90.0,Goblin Drill,41.0,,,Freeze,34.0,,,,4.0,,,
01770,Skeleton Army,90.0,Goblin Drill,41.0,,,Freeze,34.0,,,,4.0,,,
01785,Skeleton Army,90.0,Goblin Drill,41.0,,,Freeze,34.0,,,,4.0,,,
01800,Skeleton Army,90.0,Goblin Drill,41.0,,,Freeze,34.0,,,,4.0,,,
01815,Skeleton Army,90.0,Goblin Drill,41.0,,,Freeze,34.0,,,,4.0,,,
01830,Skeleton Army,90.0,Goblin Drill,41.0,,,Freeze,34.0,,,,4.0,,,
01845,Skeleton Army,90.0,Goblin Drill,41.0,Balloon,4.0,Freeze,34.0,,,,5.0,,,
01860,Skeleton Army,90.0,Goblin Drill,41.0,Balloon,4.0,Freeze,34.0,,,,5.0,,,
01875,Skeleton Army,90.0,Goblin Drill,41.0,Balloon,4.0,Freeze,34.0,,,,5.0,,,
01890,Skeleton Army,90.0,Goblin Drill,41.0,Balloon,4.0,Freeze,34.0,,,,5.0,,,
01905,Skeleton Army,90.0,Goblin Drill,41.0,Balloon,4.0,Freeze,34.0,,,,5.0,,,
01920,Skeleton Army,90.0,Goblin Drill,41.0,Balloon,4.0,Freeze,34.0,,,,5.0,,,
01935,Skeleton Army,90.0,Goblin Drill,41.0,Balloon,4.0,Freeze,34.0,,,,6.0,,,
01950,Skeleton Army,90.0,Minion Horde,68.0,Balloon,4.0,Freeze,34.0,,,,6.0,,,
01965,Skeleton Army,90.0,Minion Horde,68.0,Balloon,4.0,Freeze,34.0,,,,6.0,,,
01980,Skeleton Army,90.0,Minion Horde,68.0,Balloon,4.0,Freeze,34.0,,,,6.0,,,
01995,Skeleton Army,90.0,Minion Horde,68.0,Balloon,4.0,Freeze,34.0,,,,6.0,,,
02010,Skeleton Army,90.0,Minion Horde,68.0,Balloon,4.0,Freeze,34.0,,,,7.0,,,
02025,Skeleton Army,90.0,Minion Horde,68.0,Balloon,4.0,Freeze,34.0,,,,7.0,,,
02040,Skeleton Army,90.0,Minion Horde,68.0,Balloon,4.0,Freeze,34.0,,,,7.0,,,
02055,Skeleton Army,90.0,Minion Horde,68.0,Balloon,4.0,Freeze,34.0,,,,7.0,,,
02070,Skeleton Army,90.0,Minion Horde,68.0,Balloon,4.0,Freeze,34.0,,,,7.0,,,
02085,Skeleton Army,90.0,Minion Horde,68.0,Balloon,4.0,Freeze,34.0,,,,7.0,,,
02100,Skeleton Army,90.0,Minion Horde,68.0,Balloon,4.0,Freeze,34.0,,,,8.0,,,
02115,Skeleton Army,90.0,Bats,9.0,Balloon,4.0,Freeze,34.0,,,,8.0,,,
02130,Skeleton Army,90.0,Bats,9.0,Balloon,4.0,Freeze,34.0,,,,8.0,,,
02145,Skeleton Army,90.0,Minion Horde,68.0,Balloon,4.0,Freeze,34.0,,,,8.0,,,
02160,Skeleton Army,90.0,Bats,9.0,Balloon,4.0,Freeze,34.0,,,,8.0,,,
02175,Skeleton Army,90.0,Goblin Drill,41.0,Balloon,4.0,Freeze,34.0,,,,9.0,,,
02190,Skeleton Army,90.0,Null,75.0,Balloon,4.0,Freeze,34.0,,,,6.0,,,
02205,Skeleton Army,90.0,Skeletons,94.0,Balloon,4.0,Freeze,34.0,,,,6.0,,,
02220,Skeleton Army,90.0,Skeletons,94.0,Balloon,4.0,Freeze,34.0,,,,6.0,,,
02235,Skeleton Army,90.0,Skeletons,94.0,Balloon,4.0,Freeze,34.0,,,,6.0,,,
02250,Skeleton Army,90.0,Skeletons,94.0,Balloon,4.0,Freeze,34.0,,,,6.0,,,
02265,Skeleton Army,90.0,Skeletons,94.0,Balloon,4.0,Freeze,34.0,,,,7.0,,,
02280,Skeleton Army,90.0,Skeletons,94.0,Balloon,4.0,Freeze,34.0,,,,7.0,,,
02295,Skeleton Army,90.0,Skeletons,94.0,Balloon,4.0,Freeze,34.0,,,,7.0,,,
02310,Skeleton Army,90.0,Skeletons,94.0,Balloon,4.0,Freeze,34.0,,,,7.0,,,
02325,Skeleton Army,90.0,Skeletons,94.0,Balloon,4.0,Freeze,34.0,,,,7.0,,,
02340,Skeleton Army,90.0,Skeletons,94.0,Balloon,4.0,Freeze,34.0,,,,7.0,,,
02355,Skeleton Army,90.0,Skeletons,94.0,Balloon,4.0,Freeze,34.0,,,,8.0,,,
02370,Skeleton Army,90.0,Skeletons,94.0,Balloon,4.0,Freeze,34.0,,,,8.0,,,
02385,Skeleton Army,90.0,Skeletons,94.0,Balloon,4.0,Freeze,34.0,,,,8.0,,,
02400,Skeleton Army,90.0,Skeletons,94.0,,,,,,,,3.0,,,
02415,Skeleton Army,90.0,Skeletons,94.0,,,,,,,,3.0,,,
02430,Skeleton Army,90.0,Skeletons,94.0,,,Freeze,34.0,,,,4.0,,,
02445,Skeleton Army,90.0,Skeletons,94.0,,,Freeze,34.0,,,,4.0,,,
02460,Skeleton Army,90.0,Skeletons,94.0,,,Freeze,34.0,,,,4.0,,,
02475,Skeleton Army,90.0,Skeletons,94.0,,,Freeze,34.0,,,,4.0,,,
02490,Skeleton Army,90.0,Skeletons,94.0,,,Freeze,34.0,,,,4.0,,,
02505,Skeleton Army,90.0,Skeletons,94.0,,,Freeze,34.0,,,,4.0,,,
02520,Skeleton Army,90.0,Skeletons,94.0,Minion Horde,68.0,Freeze,34.0,,,,5.0,,,
02535,Skeleton Army,90.0,Skeletons,94.0,Minion Horde,68.0,Freeze,34.0,,,,5.0,,,
02550,Skeleton Army,90.0,Skeletons,94.0,Minion Horde,68.0,Freeze,34.0,,,,5.0,,,
02565,Skeleton Army,90.0,Skeletons,94.0,Minion Horde,68.0,Freeze,34.0,,,,5.0,,,
02580,,,Skeletons,94.0,,,,,,,,1.0,,,
02595,,,Skeletons,94.0,,,,,,,,2.0,,,
02610,,,Skeletons,94.0,,,,,,,,2.0,,,
02625,,,Skeletons,94.0,,,,,,,,2.0,,,
02640,,,Skeletons,94.0,,,,,,,,2.0,,,
02655,,,Skeletons,94.0,,,,,,,,2.0,,,
02670,,,Skeletons,94.0,,,,,,,,2.0,,,
02685,Skeleton Army,90.0,Skeletons,94.0,,,,,,,,3.0,,,
02700,Skeleton Army,90.0,Skeletons,94.0,,,,,,,,3.0,,,
02715,Skeleton Army,90.0,Skeletons,94.0,,,,,,,,3.0,,,
02730,Skeleton Army,90.0,Skeletons,94.0,,,,,,,,3.0,,,
02745,Skeleton Army,90.0,Skeletons,94.0,,,,,,,,3.0,,,
02760,Skeleton Army,90.0,Skeletons,94.0,,,,,,,,3.0,,,
02775,Skeleton Army,90.0,Skeletons,94.0,,,,,,,,4.0,,,
