frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Baby Dragon,3.0,,,,6.0,,,
00255,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Baby Dragon,3.0,,,,6.0,,,
00270,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Baby Dragon,3.0,,,,6.0,,,
00285,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Baby Dragon,3.0,,,,7.0,,,
00300,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Baby Dragon,3.0,,,,7.0,,,
00315,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Baby Dragon,3.0,,,,7.0,,,
00330,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Baby Dragon,3.0,,,,7.0,,,
00345,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Baby Dragon,3.0,,,,7.0,,,
00360,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Baby Dragon,3.0,,,,7.0,,,
00375,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Baby Dragon,3.0,,,,8.0,,,
00390,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Baby Dragon,3.0,,,,8.0,,,
00405,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Baby Dragon,3.0,,,,8.0,,,
00420,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Baby Dragon,3.0,,,,8.0,,,
00435,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Baby Dragon,3.0,,,,8.0,,,
00450,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Baby Dragon,3.0,,,,9.0,,,
00465,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Baby Dragon,3.0,,,,9.0,,,
00480,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Baby Dragon,3.0,,,,9.0,,,
00495,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Baby Dragon,3.0,,,,9.0,,,
00510,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Null,75.0,,,,5.0,,,
00525,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Knight,58.0,,,,5.0,,,
00540,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Knight,58.0,,,,6.0,,,
00555,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Knight,58.0,,,,6.0,,,
00570,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Knight,58.0,,,,6.0,,,
00585,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Knight,58.0,,,,6.0,,,
00600,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Knight,58.0,,,,6.0,,,
00615,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Knight,58.0,,,,6.0,,,
00630,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Knight,58.0,,,,7.0,,,
00645,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Knight,58.0,,,,7.0,,,
00660,Barbarian Barrel,6.0,Poison,78.0,Mega Minion,64.0,Knight,58.0,,,,7.0,,,
00675,Graveyard,48.0,Poison,78.0,Mega Minion,64.0,Knight,58.0,,,,5.0,,,
00690,Graveyard,48.0,Poison,78.0,Mega Minion,64.0,Knight,58.0,,,,5.0,,,
00705,,,,,Mega Minion,64.0,,,,,,3.0,,,
00720,,,,,Mega Minion,64.0,,,,,,3.0,,,
00735,,,,,Mega Minion,64.0,,,,,,3.0,,,
00750,,,,,Mega Minion,64.0,,,,,,3.0,,,
00765,,,,,Mega Minion,64.0,,,,,,3.0,,,
00780,,,,,Mega Minion,64.0,,,,,,3.0,,,
00795,,,Poison,78.0,Mega Minion,64.0,,,,,,4.0,,,
00810,,,Poison,78.0,Mega Minion,64.0,,,,,,4.0,,,
00825,,,Poison,78.0,Mega Minion,64.0,,,,,,4.0,,,
00840,,,Poison,78.0,Mega Minion,64.0,,,,,,4.0,,,
00855,,,Poison,78.0,Mega Minion,64.0,,,,,,4.0,,,
00870,Graveyard,48.0,Poison,78.0,Furnace,35.0,,,,,,5.0,,,
00885,Graveyard,48.0,Poison,78.0,Mega Minion,64.0,,,,,,5.0,,,
00900,,,,,,,,,,,,1.0,,,
00915,,,,,,,,,,,,1.0,,,
00930,,,,,,,,,,,,1.0,,,
00945,,,,,,,,,,,,1.0,,,
00960,,,,,,,,,,,,2.0,,,
00975,,,,,,,,,,,,2.0,,,
00990,,,,,,,,,,,,2.0,,,
01005,,,,,,,,,,,,2.0,,,
01020,,,,,,,,,,,,2.0,,,
01035,,,,,,,,,,,,2.0,,,
01050,,,,,Mega Minion,64.0,,,,,,3.0,,,
