frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,6,,,
00255,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,6,,,
00270,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,6,,,
00285,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,7,,,
00300,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,7,,,
00315,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,7,,,
00330,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,7,,,
00345,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,7,,,
00360,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,7,,,
00375,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,8,,,
00390,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,8,,,
00405,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,8,,,
00420,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,8,,,
00435,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,8,,,
00450,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,9,,,
00465,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,9,,,
00480,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,9,,,
00495,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,9,,,
00510,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,9,,,
00525,Bomb Tower,12.0,Skeleton Barrel,91.0,Goblin Barrel,39.0,The Log,98.0,,,,9,,,
00540,Bomb Tower,12.0,Spear Goblins,96.0,Goblin Barrel,39.0,The Log,98.0,,,,7,,,
00555,Bomb Tower,12.0,Spear Goblins,96.0,Goblin Barrel,39.0,The Log,98.0,,,,7,,,
00570,Bomb Tower,12.0,Spear Goblins,96.0,Goblin Barrel,39.0,The Log,98.0,,,,7,,,
00585,Bomb Tower,12.0,Spear Goblins,96.0,Goblin Barrel,39.0,The Log,98.0,,,,7,,,
00600,Bomb Tower,12.0,Spear Goblins,96.0,Goblin Barrel,39.0,The Log,98.0,,,,7,,,
00615,Bomb Tower,12.0,Spear Goblins,96.0,Goblin Barrel,39.0,The Log,98.0,,,,8,,,
00630,Bomb Tower,12.0,Spear Goblins,96.0,Goblin Barrel,39.0,The Log,98.0,,,,8,,,
00645,Bomb Tower,12.0,Spear Goblins,96.0,Goblin Barrel,39.0,The Log,98.0,,,,8,,,
00660,Bomb Tower,12.0,Spear Goblins,96.0,Goblin Barrel,39.0,The Log,98.0,,,,8,,,
00675,Bomb Tower,12.0,Spear Goblins,96.0,Goblin Barrel,39.0,The Log,98.0,,,,8,,,
00690,Bomb Tower,12.0,Spear Goblins,96.0,Goblin Barrel,39.0,The Log,98.0,,,,8,,,
00705,Bomb Tower,12.0,Spear Goblins,96.0,Goblin Barrel,39.0,The Log,98.0,,,,9,,,
00720,Bomb Tower,12.0,Spear Goblins,96.0,Skeletons,94.0,The Log,98.0,,,,6,,,
00735,Bomb Tower,12.0,Spear Goblins,96.0,Skeletons,94.0,The Log,98.0,,,,6,,,
00750,Bomb Tower,12.0,Spear Goblins,96.0,Skeletons,94.0,The Log,98.0,,,,6,,,
00765,Bomb Tower,12.0,Spear Goblins,96.0,Skeletons,94.0,The Log,98.0,,,,6,,,
00780,Bomb Tower,12.0,Spear Goblins,96.0,Skeletons,94.0,The Log,98.0,,,,6,,,
00795,Bomb Tower,12.0,Spear Goblins,96.0,Skeletons,94.0,The Log,98.0,,,,7,,,
00810,Bomb Tower,12.0,Spear Goblins,96.0,Skeletons,94.0,The Log,98.0,,,,7,,,
00825,Bomb Tower,12.0,Spear Goblins,96.0,Skeletons,94.0,The Log,98.0,,,,7,,,
00840,Bomb Tower,12.0,Spear Goblins,96.0,Skeletons,94.0,The Log,98.0,,,,7,,,
00855,Bomb Tower,12.0,Spear Goblins,96.0,Skeletons,94.0,The Log,98.0,,,,7,,,
00870,Bomb Tower,12.0,Spear Goblins,96.0,Skeletons,94.0,The Log,98.0,,,,8,,,
00885,Bomb Tower,12.0,Spear Goblins,96.0,Skeletons,94.0,The Log,98.0,,,,8,,,
00900,Bomb Tower,12.0,Spear Goblins,96.0,Skeletons,94.0,The Log,98.0,,,,8,,,
00915,Bomb Tower,12.0,Spear Goblins,96.0,Skeletons,94.0,The Log,98.0,,,,8,,,
00930,Bomb Tower,12.0,Spear Goblins,96.0,Skeletons,94.0,The Log,98.0,,,,8,,,
00945,Bomb Tower,12.0,Spear Goblins,96.0,Skeletons,94.0,The Log,98.0,,,,8,,,
00960,Bomb Tower,12.0,Rascals,83.0,Skeletons,94.0,The Log,98.0,,,,9,,,
00975,Bomb Tower,12.0,Rascals,83.0,Skeletons,94.0,The Log,98.0,,,,9,,,
00990,Bomb Tower,12.0,Rascals,83.0,Skeletons,94.0,The Log,98.0,,,,7,,,
01005,Bomb Tower,12.0,Rascals,83.0,Skeletons,94.0,The Log,98.0,,,,7,,,
01020,Bomb Tower,12.0,Rascals,83.0,Skeletons,94.0,The Log,98.0,,,,7,,,
01035,Bomb Tower,12.0,Rascals,83.0,Skeletons,94.0,The Log,98.0,,,,8,,,
01050,Bomb Tower,12.0,Rascals,83.0,Skeletons,94.0,The Log,98.0,,,,8,,,
01065,Bomb Tower,12.0,Rascals,83.0,Skeletons,94.0,The Log,98.0,,,,8,,,
01080,Bomb Tower,12.0,Rascals,83.0,Skeletons,94.0,The Log,98.0,,,,8,,,
01095,Bomb Tower,12.0,Rascals,83.0,Skeletons,94.0,The Log,98.0,,,,8,,,
01110,Bomb Tower,12.0,Rascals,83.0,Skeletons,94.0,The Log,98.0,,,,8,,,
01125,Bomb Tower,12.0,Rascals,83.0,Skeletons,94.0,The Log,98.0,,,,9,,,
01140,Bomb Tower,12.0,Rascals,83.0,Skeletons,94.0,The Log,98.0,,,,9,,,
01155,Bomb Tower,12.0,Rascals,83.0,Skeletons,94.0,The Log,98.0,,,,9,,,
01170,Bomb Tower,12.0,Rascals,83.0,Skeletons,94.0,The Log,98.0,,,,9,,,
01185,Bomb Tower,12.0,Rascals,83.0,Skeletons,94.0,The Log,98.0,,,,9,,,
01200,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,The Log,98.0,,,,8,,,
01215,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,The Log,98.0,,,,9,,,
01230,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,The Log,98.0,,,,9,,,
01245,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,The Log,98.0,,,,9,,,
01260,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,The Log,98.0,,,,9,,,
01275,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,The Log,98.0,,,,9,,,
01290,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,The Log,98.0,,,,10,,,
01305,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,The Log,98.0,,,,10,,,
01320,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,The Log,98.0,,,,10,,,
01335,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,The Log,98.0,,,,10,,,
01350,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,The Log,98.0,,,,10,,,
01365,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,Skeleton Barrel,91.0,,,,8,,,
01380,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,Skeleton Barrel,91.0,,,,8,,,
01395,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,Skeleton Barrel,91.0,,,,8,,,
01410,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,Skeleton Barrel,91.0,,,,8,,,
01425,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,Skeleton Barrel,91.0,,,,8,,,
01440,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,Skeleton Barrel,91.0,,,,8,,,
01455,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,Skeleton Barrel,91.0,,,,9,,,
01470,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,Skeleton Barrel,91.0,,,,9,,,
01485,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,Skeleton Barrel,91.0,,,,9,,,
01500,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,Skeleton Barrel,91.0,,,,9,,,
01515,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,Skeleton Barrel,91.0,,,,9,,,
01530,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,Skeleton Barrel,91.0,,,,10,,,
01545,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,7,,,
01560,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,7,,,
01575,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,7,,,
01590,Bomb Tower,12.0,Rascals,83.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,7,,,
01605,Bomb Tower,12.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,2,,,
01620,Bomb Tower,12.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,2,,,
01635,Bomb Tower,12.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,3,,,
01650,Bomb Tower,12.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,3,,,
01665,Bomb Tower,12.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,3,,,
01680,Bomb Tower,12.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,3,,,
01695,Bomb Tower,12.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,3,,,
01710,Bomb Tower,12.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,4,,,
01725,Bomb Tower,12.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,4,,,
01740,Bomb Tower,12.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,4,,,
01755,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,0,,,
01770,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,0,,,
01785,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,0,,,
01800,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,1,,,
01815,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,1,,,
01830,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,1,,,
01845,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,1,,,
01860,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,1,,,
01875,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,2,,,
01890,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,2,,,
01905,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,2,,,
01920,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,2,,,
01935,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,2,,,
01950,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,2,,,
01965,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,3,,,
01980,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,Goblin Barrel,39.0,,,,3,,,
01995,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,0,,,
02010,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,0,,,
02025,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,0,,,
02040,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,0,,,
02055,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,1,,,
02070,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,1,,,
02085,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,1,,,
02100,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,1,,,
02115,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,1,,,
02130,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,2,,,
02145,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,2,,,
02160,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,2,,,
02175,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,2,,,
02190,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,2,,,
02205,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,2,,,
02220,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,3,,,
02235,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,3,,,
02250,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,3,,,
02265,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,3,,,
02280,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,3,,,
02295,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,4,,,
02310,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,4,,,
02325,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,4,,,
02340,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,4,,,
02355,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,4,,,
02370,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,4,,,
02385,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,5,,,
02400,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,5,,,
02415,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,5,,,
02430,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,5,,,
02445,Skeletons,94.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,5,,,
02460,Skeleton Barrel,91.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,4,,,
02475,Skeleton Barrel,91.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,5,,,
02490,Skeleton Barrel,91.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,5,,,
02505,Skeleton Barrel,91.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,5,,,
02520,Skeleton Barrel,91.0,Spear Goblins,96.0,Royal Delivery,85.0,The Log,98.0,,,,5,,,
