frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,6,False,False,,,
00240,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,6,False,False,,,
00255,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,6,False,False,,,
00270,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,7,False,False,,,
00285,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,7,False,False,,,
00300,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,7,False,False,,,
00315,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,7,False,False,,,
00330,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,7,False,False,,,
00345,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,7,False,False,,,
00360,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,8,False,False,,,
00375,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,8,False,False,,,
00390,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,8,False,False,,,
00405,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,8,False,False,,,
00420,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,8,False,False,,,
00435,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,9,False,False,,,
00450,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,9,False,False,,,
00465,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,9,False,False,,,
00480,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,9,False,False,,,
00495,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Skeleton Barrel,91.0,,,,9,False,False,,,
00510,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Skeleton Barrel,91.0,4.0,6,True,True,,Skeleton Barrel,3.0
00525,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,7,False,False,,,
00540,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,7,False,False,,,
00555,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,7,False,False,,,
00570,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,7,False,False,,,
00585,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,7,False,False,,,
00600,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,7,False,False,,,
00615,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,8,False,False,,,
00630,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,8,False,False,,,
00645,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,8,False,False,,,
00660,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,8,False,False,,,
00675,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,8,False,False,,,
00690,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,9,False,False,,,
00705,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,9,False,False,,,
00720,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,9,False,False,,,
00735,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,9,False,False,,,
00750,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,9,False,False,,,
00765,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,9,False,False,,,
00780,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,10,False,False,,,
00795,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,10,False,False,,,
00810,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,,,,10,False,False,,,
00825,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Knight,58.0,Spear Goblins,96.0,4.0,8,True,True,,Spear Goblins,2.0
00840,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Knight,58.0,,,,8,False,False,,,
00855,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Knight,58.0,,,,8,False,False,,,
00870,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Knight,58.0,,,,8,False,False,,,
00885,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Knight,58.0,,,,8,False,False,,,
00900,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Knight,58.0,,,,9,False,False,,,
00915,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Knight,58.0,,,,9,False,False,,,
00930,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Knight,58.0,,,,9,False,False,,,
00945,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Knight,58.0,,,,9,False,False,,,
00960,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Knight,58.0,,,,9,False,False,,,
00975,Goblin Gang,42.0,Fireball,30.0,The Log,98.0,Knight,58.0,,,,9,False,False,,,
